Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Total Precipitation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2018;06;20;00;00;25.08;93.00;0.00;27.34;189.09
2018;06;20;01;00;25.05;93.00;0.00;28.05;188.86
2018;06;20;02;00;24.98;94.00;0.00;28.31;191.74
2018;06;20;03;00;25.30;92.00;0.00;28.74;192.30
2018;06;20;04;00;25.31;92.00;0.00;29.25;193.52
2018;06;20;05;00;25.34;92.00;0.00;29.43;194.89
2018;06;20;06;00;25.49;92.00;0.00;28.48;196.14
2018;06;20;07;00;26.10;89.00;0.00;28.69;197.53
2018;06;20;08;00;26.42;88.00;0.00;28.59;196.84
2018;06;20;09;00;26.50;87.00;0.00;28.93;196.63
2018;06;20;10;00;27.31;83.00;0.00;29.72;196.90
2018;06;20;11;00;27.32;83.00;0.00;30.17;197.35
2018;06;20;12;00;27.73;83.00;0.00;29.71;199.09
2018;06;20;13;00;27.38;84.00;0.00;29.50;199.98
2018;06;20;14;00;27.23;84.00;0.00;29.69;202.83
2018;06;20;15;00;27.76;82.00;0.00;29.17;204.03
2018;06;20;16;00;27.42;82.00;0.00;29.17;204.03
2018;06;20;17;00;27.15;84.00;0.00;28.69;203.67
2018;06;20;18;00;26.93;84.00;0.00;28.61;201.40
2018;06;20;19;00;26.15;87.00;0.00;26.64;198.92
2018;06;20;20;00;25.24;91.00;0.00;23.93;195.71
2018;06;20;21;00;25.81;91.00;0.00;26.87;197.95
2018;06;20;22;00;25.78;92.00;0.00;26.76;197.22
2018;06;20;23;00;25.78;91.00;0.00;27.55;197.49
2018;06;21;00;00;25.74;90.00;0.00;28.01;197.97
2018;06;21;01;00;25.57;91.00;0.00;28.12;198.67
2018;06;21;02;00;25.46;92.00;0.00;27.35;200.82
2018;06;21;03;00;25.86;90.00;0.00;27.01;201.09
2018;06;21;04;00;25.92;89.00;0.00;26.67;201.37
2018;06;21;05;00;25.79;89.00;0.00;26.34;201.66
2018;06;21;06;00;25.90;89.00;0.00;26.21;200.92
2018;06;21;07;00;26.22;88.00;0.10;26.54;200.65
2018;06;21;08;00;27.37;83.00;0.00;28.08;202.62
2018;06;21;09;00;28.34;79.00;0.00;29.17;204.03
2018;06;21;10;00;28.87;77.00;0.00;29.32;204.68
2018;06;21;11;00;29.05;77.00;0.00;28.99;204.97
2018;06;21;12;00;28.76;78.00;0.00;29.32;204.68
2018;06;21;13;00;28.53;78.00;0.00;28.84;204.33
2018;06;21;14;00;27.46;82.00;0.00;28.36;203.96
2018;06;21;15;00;28.06;80.00;0.00;27.89;203.59
2018;06;21;16;00;27.54;82.00;0.00;27.38;204.88
2018;06;21;17;00;27.62;82.00;0.00;27.05;206.91
2018;06;21;18;00;26.63;86.00;0.00;26.26;213.25
2018;06;21;19;00;26.15;87.00;0.00;23.89;210.82
2018;06;21;20;00;25.67;90.00;0.00;21.42;204.84
2018;06;21;21;00;25.62;92.00;0.00;18.90;197.74
2018;06;21;22;00;25.53;92.00;0.00;18.67;199.13
2018;06;21;23;00;26.04;89.00;0.00;19.01;204.62
2018;06;22;00;00;25.83;88.00;0.00;20.93;206.57
2018;06;22;01;00;25.90;88.00;0.00;18.84;206.08
2018;06;22;02;00;25.82;88.00;0.00;18.51;206.57
2018;06;22;03;00;25.73;88.00;0.00;19.01;204.62
2018;06;22;04;00;25.70;88.00;0.00;20.33;202.93
2018;06;22;05;00;25.67;89.00;0.00;21.87;200.22
2018;06;22;06;00;25.71;88.00;0.00;23.22;199.00
2018;06;22;07;00;26.25;87.00;0.00;25.16;199.21
2018;06;22;08;00;26.45;88.00;0.10;25.07;195.83
2018;06;22;09;00;25.84;90.00;0.30;26.11;195.19
2018;06;22;10;00;26.86;87.00;0.20;25.20;201.80
2018;06;22;11;00;26.06;89.00;0.20;23.19;205.77
2018;06;22;12;00;27.48;85.00;0.40;23.54;203.43
2018;06;22;13;00;26.31;87.00;0.10;22.74;203.32
2018;06;22;14;00;27.70;84.00;0.30;22.26;202.83
2018;06;22;15;00;26.14;88.00;0.30;21.09;207.44
2018;06;22;16;00;25.99;89.00;0.30;20.47;203.86
2018;06;22;17;00;25.83;89.00;0.30;19.86;202.38
2018;06;22;18;00;26.14;89.00;0.40;19.93;200.07
2018;06;22;19;00;25.46;91.00;0.00;18.69;195.64
2018;06;22;20;00;24.70;94.00;0.00;19.06;190.89
2018;06;22;21;00;25.27;90.00;0.00;26.18;198.43
2018;06;22;22;00;25.25;91.00;0.00;26.64;198.92
2018;06;22;23;00;25.16;92.00;0.00;26.21;200.92
2018;06;23;00;00;25.13;92.00;0.00;25.95;203.72
2018;06;23;01;00;25.09;93.00;0.00;25.29;204.38
